# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2MASS J0506+5236,Confirmed,26.0,7.0,7.0,,,,1.05,0.08,0.08,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.0,63.0,63.0,,,,,,4.74,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J05065012+5236338,,,76.708850016708,52.60940835286,,,,,,17.6,1.6,1.6,,,,,,,,,,,,,,,,,,,
2MASS J06023447-0034369 b,Confirmed,1.1,0.1,0.1,,,,1.3,,,3.0525,0.0001,0.0001,,,,,,,,,,,2021,2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,,,2MASS J06023447-0034369,90.643653,-0.576923,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaia EDR3 3026325426682637824
2MASS J0642+4101,Confirmed,12.0,1.0,1.0,,,,1.23,0.0,0.0,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.0,11.0,11.0,,,,,,4.28,Published in a refereed paper,Imaging,,,,,,100.523300001864,41.0333330136664,,,,,,16.1,1.9,1.9,,,,,,,,,,,,,,,,,,,
2MASS J0718-6415,Confirmed,3.0,1.0,1.0,,,,1.29,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.0,32.0,32.0,,,,,,3.57,Published in a refereed paper,Imaging,,,,,,109.536310002905,-64.2586360119088,,,,,,9.34,0.86,0.86,,,,,,,,,,,,,,,,,,,
2MASS J0809+4434,Confirmed,13.0,8.0,8.0,,,,1.35,0.11,0.11,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.0,74.0,74.0,,,,,,4.12,Published in a refereed paper,Imaging,Spectrum,Flux,,,,122.495993019679,44.572670016136,,,,,,25.0,5.0,5.0,,,,,,,,,,,,,,,,,,,
2MASS J0951-8023,Confirmed,15.0,2.0,2.0,,,,1.45,0.05,0.05,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463.0,65.0,65.0,,,,,,4.22,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J09512690-8023553,,,147.8620833423,-80.3986944644,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J10475385+2124234,Confirmed,42.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,1999,2020-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,2MASS J1047+21,,,161.974394017952,21.4065190132152,,,,,,10.56,,,,,,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 A,Confirmed,50.0,,,,,,,,,,,,,,,,,,,,,,2004,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275006,-77.5439750192,,,,,,168.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 B,Confirmed,30.0,,,,,,,,,,,,240.0,,,,,,,,,,2004,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275006,-77.5439750192,,,,,,168.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
2MASS J1119-1137 b,Confirmed,3.7,0.9,1.2,,,,,,,32850.0,,,,,,,,,,,,,2017,2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2MASS J1119-1137,169.885595844,-11.6296389116,,,,,14.62,,,,,,,,,,,,,L7,0.01,0.003,0.003,,,,,,
2MASS J1155-7919 b,Confirmed,10.0,,,,,,,,,,,,582.0,,,,,,,,,,2020,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1155-7919,178.769,-79.32,14.0,,,,,101.15,0.5,0.5,,,,,,,,,,M3,0.005,,,,,,,,
2MASS J1219+3128,Confirmed,49.0,25.0,25.0,,,,0.97,0.13,0.27,,,,,,,,,,,,,,2021,2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330.0,140.0,140.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,,,,184.964836017187,31.4804760203808,,,,,,19.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
2MASS J1450-7841 A,Confirmed,40.0,,,,,,,,,,,,300.0,,,,,,,,,,2017,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 B,222.670833347,-78.693888911,,,,,,75.0,25.0,25.0,,,,0.04,,,,,,M9p,,,,,,,,,
2MASS J1450-7841 B,Confirmed,40.0,,,,,,,,,,,,300.0,,,,,,,,,,2017,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 A,222.675000014,-78.694722245,,,,,,75.0,,,,,,0.04,,,,,,M8p,,,,,,,,,
2MASS J15344984-2952274 A,Confirmed,30.1,1.7,1.7,,,,,,,,,,,,,,,,,,,,2008,2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,233.707666683,-29.8742778012,,,,,,15.9,0.27,0.27,,,,,,,,,,,,,,,,,,,
2MASS J15344984-2952274 B,Confirmed,28.2,1.7,1.7,,,,,,,5550.0,950.0,950.0,2.3,0.3,0.3,0.24,0.16,0.16,84.3,0.8,0.8,,2008,2019-03-21,178.0,10.0,10.0,2456024.0,347.0,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,Published in a refereed paper,Astrometry,Astrometry,,,,,233.707666683,-29.8742778012,,,,,,15.9,0.27,0.27,,,,,,,,,,,,,,,,,,,
2MASS J1551+0941,Confirmed,24.0,14.0,14.0,,,,1.39,0.19,0.19,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.0,126.0,126.0,,,,,,4.41,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J15515237+0941148,,,237.96824601746,9.6874690169752,,,,,,64.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2MASS J155947+440359 b,Confirmed,43.0,9.0,9.0,,,,,,,,,,1101.23,66.35,66.35,,,,,,,,2012,2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J155947+440359,239.945833349,44.066666681,11.8,,,,,44.76,0.4,0.4,,,,,,,,,,M2.0V,,,,,,,,,
2MASS J1647+5632,Confirmed,18.0,6.0,6.0,,,,1.22,0.07,0.07,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.0,47.0,47.0,,,,,,4.45,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J16471580+5632057,,,251.815856005268,56.5349240119392,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,
2MASS J1741-4642,Confirmed,26.0,3.0,3.0,,,,1.23,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471.0,44.0,44.0,,,,,,4.63,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J17410280-4642218,,,265.261694001,-46.7060700189,,,,,,19.8,0.1,0.1,,,,,,,,,,,,,,,,,,,
2MASS J2002-0521,Confirmed,13.0,8.0,8.0,,,,1.36,0.11,0.11,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301.0,56.0,56.0,,,,,,4.14,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J20025073-0521524,,,300.711297931718,-5.36460626791111,,,,,,17.6316,0.4607,0.4607,,,,,,,,,,,,,,,,,,,
2MASS J2117-2940,Confirmed,7.0,2.0,2.0,,,,1.38,0.05,0.05,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.0,80.0,80.0,,,,,,3.95,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J21171431-2940034,,,319.309633338104,-29.66761668076,,,,,,16.9,1.7,1.7,,,,,,,,,,,,,,,,,,,
2MASS J2154-1055,Confirmed,33.0,4.0,4.0,,,,1.17,0.03,0.03,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,31.0,31.0,,,,,,4.76,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J21543454-1055308,,,328.643928011514,-10.9252340251872,,,,,,31.1,1.1,1.1,,,,,,,,,,,,,,,,,,,
2MASS J2206+3301,Confirmed,8.0,1.0,1.0,,,,1.3,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.0,37.0,37.0,,,,,,4.03,Published in a refereed paper,Imaging,Spectrum,Flux,,,,331.605012508401,33.02067778132,,,,,,34.4,3.7,3.7,,,,,,,,,,,,,,,,,,,
2MASS J2206-4217,Confirmed,32.0,3.0,3.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.0,46.0,46.0,,,,,,4.72,Published in a refereed paper,Imaging,Spectrum,Flux,"2MASSW J2206450-421721, 2MASS J2206450-421721",,,331.687491732339,-42.2892127397994,,,,,,29.5966,-1.4941,-1.4941,,,,,,,,,,,,,,,,,,,
2MASS J2250+2325 b,Confirmed,30.0,4.0,11.0,,,,,,,,,,518.0,40.0,40.0,,,,,,,,2017,2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J2250+2325,342.562500005,23.426111127,,,,,,41.5,10.0,10.0,,,,,,,,,,M3,0.15,,,,,,,,
2MASS J2322-6151,Confirmed,18.0,2.0,2.0,,,,1.5,0.03,0.03,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740.0,43.0,43.0,,,,,,4.27,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J23225299-6151275,,,350.720860412338,-61.8576384993416,,,,,,43.0283,-1.9427,-1.9427,,,,,,,,,,,,,,,,,,,
2MASS J2343-3646,Confirmed,34.0,4.0,4.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755.0,53.0,53.0,,,,,,4.74,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J23433470-3646021,,,355.894610011569,-36.7672770158216,,,,,,40.5,2.2,2.2,,,,,,,,,,,,,,,,,,,
2MASSW J2208136+292121,Confirmed,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,2000,2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2M2208+2921,,,332.056794004544,29.3559820117856,,,,,,50.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
3 Cnc b,Confirmed,,,,20.76,0.73,0.73,,,,853.64,4.76,4.76,2.52,0.04,0.03,0.04,0.03,0.04,,,,,2020,2020-10-26,275.18,96.04,73.58,2453806.7,175.74,227.0,,,,,,,,,,,,,,,,,,,216.17,11.16,11.16,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,3 Cnc,120.195833349,17.308611124,5.6,,,,,243.3,26.86,34.46,0.06,0.1,0.1,2.94,0.33,0.36,39.38,3.3,3.68,K3 III,0.43,0.12,0.22,4319.0,22.0,34.0,,,
38 Vir b,Confirmed,,,,4.51,0.5,0.5,,,,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,2017-02-20,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,38 Vir,193.296489462,-3.55309929126,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,1.9,0.7,0.6,6557.0,96.0,96.0,,,"HD 111998, HIP 62875"
4 Uma b,Confirmed,,,,7.1,1.6,1.6,,,,269.3,1.96,1.96,0.87,0.04,0.04,0.432,0.024,0.024,,,,0.011083,2007,2014-08-27,23.81,4.42,4.42,2452987.3936,4.31,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,4 Uma,130.0541667,64.3280556,5.79,,,,,78.5,1.6,1.6,-0.25,0.04,0.04,1.234,0.15,0.15,,,,K1III,4.604,2.0,2.0,4415.0,70.0,70.0,,,
42 Dra b,Confirmed,,,,3.88,0.85,0.85,,,,479.1,6.2,6.2,1.19,0.01,0.01,0.38,0.06,0.06,,,,0.01223,2009,2009-03-22,218.7,10.6,10.6,2452757.4,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,42 Dra,276.4958333,65.5636111,4.83,,,,,97.3,5.0,5.0,-0.46,0.05,0.05,0.98,0.05,0.05,22.03,1.0,1.0,K1.5III,9.49,1.76,1.76,4200.0,70.0,70.0,,,
44 Uma b,Confirmed,,,,12.11,0.85,0.2,,,,785.74,4.77,4.8,2.16,0.06,0.02,0.11,0.06,0.06,,,,,2020,2020-10-26,135.6,45.6,40.66,2453560.34,90.8,98.9,,,,,,,,,,,,,,,,,,,158.74,8.62,8.55,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,44 Uma,163.391666678,65.585000013,5.12,,,,,200.4,12.43,14.19,-0.21,0.1,0.1,2.19,0.43,0.1,45.12,2.32,1.97,K3 III,1.05,0.18,0.5,4215.0,13.0,13.0,,,
47 Uma b,Confirmed,,,,2.53,0.06,0.07,,,,1078.0,2.0,2.0,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,2014-08-27,334.0,23.0,23.0,2451917.0,76.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,
47 Uma c,Confirmed,,,,0.54,0.073,0.066,,,,2391.0,87.0,100.0,3.6,0.1,0.1,0.098,0.096,0.047,,,,0.257695,2001,2014-08-27,295.0,160.0,114.0,2456441.0,825.0,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,
47 Uma d,Confirmed,,,,1.64,0.48,0.29,,,,14002.0,5095.0,4018.0,11.6,2.9,2.1,0.16,0.16,0.09,,,,0.830351,2010,2014-08-27,110.0,160.0,132.0,2451736.0,5051.0,6783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,
51 Eri b,Confirmed,2.6,0.3,0.3,,,,1.11,0.13,0.16,10260.0,1800.0,6300.0,11.1,1.3,4.2,0.49,0.15,0.15,136.0,11.0,11.0,,2015,2019-10-24,84.0,58.0,58.0,2452014.79,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.4005514287,-2.47354859817,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.72905e-05,3.72905e-05,0.052,,,0.0069,0.0066,0.0069,80.0,10.0,19.0,0.003537,1995,2017-01-26,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497.0,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,,,,,14.7,,,0.2,0.07,0.07,1.11,0.06,0.06,1.266,0.046,0.046,G2 IV,4.0,2.5,2.5,5793.0,70.0,70.0,,,
55 Cnc b,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,2017-06-11,110.0,54.0,54.0,2453035.0,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
55 Cnc c,Confirmed,,,,0.1784,0.0078,0.0275,,,,44.373,0.018,0.02,0.23735,0.00024,0.00024,0.072,0.014,0.013,,,,0.019473,2002,2017-06-11,356.0,22.0,22.0,2453983.0,3.0,3.0,,,,,,,,,,,,,,,,,,,10.48,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
55 Cnc d,Confirmed,,,,3.86,0.15,0.6,,,,4867.0,26.0,25.0,5.446,0.02,0.02,0.0269,0.0065,0.061,,,,0.466775,2002,2017-06-11,254.0,32.0,32.0,2453490.0,437.0,437.0,,,,,,,,,,,,,,,,,,,45.2,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
55 Cnc e,Confirmed,0.02703,0.00135,0.00135,,,,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,0.015439,1.5e-05,1.5e-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,2021-04-08,170.0,130.0,130.0,2449999.83643,0.0001,0.0001,,,,2455962.0697,0.0018,0.0018,,,,72.4,12.0,12.0,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"C2H2, H2O, HCN, N, NH3",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
55 Cnc f,Confirmed,,,,0.1479,0.0093,0.0219,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,0.06329,2007,2017-06-11,139.0,8.0,8.0,2451878.0,5.0,5.0,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
6 Lyn b,Confirmed,,,,2.01,0.077,0.077,,,,934.3,8.6,8.6,2.11,0.11,0.11,0.073,0.036,0.036,,,,0.038664,2008,2021-04-11,130.0,38.0,38.0,2455384.0,94.0,94.0,,,,,,,,,,,,,,,,,,,32.8,1.2,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,6 Lyn,97.6958333,58.1627778,5.86,4.8,4.27,3.03,3.7,56.9,2.5,2.5,-0.13,0.02,0.02,1.7,0.2,0.2,5.2,0.3,0.3,K0IV,,,,4978.0,18.0,18.0,,,
61 Vir b,Confirmed,,,,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5e-06,5e-06,0.12,0.11,0.11,,,,0.005892,2009,2009-12-14,105.0,54.0,54.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617
61 Vir c,Confirmed,,,,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,2009-12-14,341.0,38.0,38.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617
61 Vir d,Confirmed,,,,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,2009-12-14,314.0,20.0,20.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617
7 CMA c,Confirmed,,,,0.906,0.06,0.06,,,,988.9,52.0,1.5,2.143,0.08,0.003,0.046,0.04,0.05,,,,,2019,2019-10-15,226.6,40.0,7.7,,,,,,,,,,,,,,,,,,,,,,15.2,1.1,0.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,7 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792.0,100.0,100.0,,,
7 CMa b,Confirmed,,,,1.895,0.04,0.06,,,,736.9,1.0,14.8,1.761,0.01,0.024,0.055,0.03,0.03,,,,0.096203,2011,2019-10-15,116.4,71.0,5.0,2454093.0,34.0,34.0,,,,,,,,,,,,,,,,,,,35.1,0.9,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,HD 47205 b,,7 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792.0,100.0,100.0,,,
70 Vir b,Confirmed,,,,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,0.021818,1996,2010-12-28,2.1,2.0,2.0,2448990.403,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,70 Vir,202.1083333,13.7866667,5.0,,,,,22.0,,,-0.11,,,0.92,,,1.968,0.047,0.047,G4 V,7.09,,,5432.0,,,IR Excess,,HR 117176
75 Cet b,Confirmed,,,,3.0,,,,,,691.9,3.6,3.6,2.1,,,,,,,,,,2012,2012-09-03,,,,2452213.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,75 Cet,38.0375,-1.035,5.36,,,,,81.5,7.51,7.51,0.0,0.04,0.04,2.49,0.02,0.27,10.5,1.0,1.0,G3III,,,,4846.0,18.0,18.0,,,
8 Umi b,Confirmed,,,,1.5,0.2,0.2,,,,93.4,4.5,4.5,0.49,0.03,0.03,0.06,0.18,0.18,,,,,2015,2015-10-01,91.0,84.6,84.6,2454108.5,22.8,22.8,,,,,,,,,,,,,,,,,,,46.1,4.0,4.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,8 Umi,224.200000016,74.900833352,6.83,,,,,159.1,11.0,11.0,-0.03,0.02,0.02,1.8,0.1,0.1,9.9,0.4,0.4,K0,1.7,0.2,0.2,4847.4,7.5,7.5,,,
81 Cet b,Confirmed,,,,5.3,,,,,,952.7,8.8,8.8,2.5,,,0.206,0.029,0.029,,,,0.02572,2008,2014-08-27,175.0,6.9,6.9,2452486.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,81 Cet,39.425,-3.3961111,5.65,,3.94,3.38,3.27,97.2,9.2,9.2,-0.06,0.03,0.03,2.4,0.4,0.4,11.0,0.1,0.1,G5III,,,,,,,,,
91 Aqr b,Confirmed,,,,3.2,,,,,,181.4,0.1,0.1,0.7,,,0.027,0.026,0.026,,,,0.006593,2003,2015-08-21,177.3,0.8,0.8,2453472.1,24.0,24.0,,,,,,,,,,,,,,,,,,,91.0,2.3,2.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,91 Aqr,348.9708333,-9.0875,4.21,,,,,45.9,0.6,0.6,-0.03,0.1,0.1,1.4,0.1,0.1,11.0,0.1,0.1,K0 III,3.56,0.63,0.63,4665.0,18.0,18.0,,,
AB Dor C b,Confirmed,13.0,1.0,1.0,,,,,,,,,,0.58,,,,,,,,,,2019,2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,AB Dor C,82.433333348,-65.448333354,,,,,,15.8,,,,,,0.072,0.013,0.013,,,,M8,,,,,,,,,
